Run ID,Name,Source Type,Source Name,User,Status,dataset,hidden_size,loss_reduction,max_epochs,model,n_layers,n_trial,rapp_end_index,rapp_start_index,target_label,auroc,epoch,nap_auroc,sap_auroc
e9d8d5a0cbb24c6cb9d8cefaeb92585e,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,vae,10,0,-1,1,0,0.9868902827762781,199,0.9514598183940896,0.9841304981829208
bee4988e79b54eb4b77554192be56a03,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,aae,10,1,-1,1,0,0.963572964607063,199,0.952822471274014,0.9501189285028733
ae3b723691094e9dbc71b2c42e39b8bf,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,ae,10,1,-1,1,0,0.9660697908620254,199,0.9669150467970908,0.96583608360326
6bd23774759d446694201e1a57221445,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,aae,10,0,-1,1,9,0.7170515546380937,199,0.7569782471002124,0.7501455889425863
272b4cd3d6a34a9a95c3a1c556f4f251,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,aae,10,0,-1,1,8,0.9773110717982773,199,0.9739624371695527,0.9748895885730112
5dbbf3c54a044e3891122823610158c0,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,aae,10,0,-1,1,7,0.8051768373467382,199,0.9061623294405832,0.901108048227134
63948808b7914e8697af2b16ad56dee4,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,ae,10,0,-1,1,9,0.7082880367755753,199,0.7712010969327745,0.7691616529016676
d280131bd1af4c9bb8b03253afcf00fe,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,aae,10,0,-1,1,6,0.9228104165357269,199,0.9499872152538431,0.9364022425546391
8109c992cda9497d9a48c62b112645ec,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,ae,10,0,-1,1,8,0.9628143248343778,199,0.959477310781719,0.9575207086149544
5cb36b3ee26b4a8ba9ae78edcc9a1a17,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,aae,10,0,-1,1,5,0.9760013683646421,199,0.9904876317657533,0.9897741080089685
3dfe6b63259c424a9bf8a0cc4e97c7e1,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,ae,10,0,-1,1,7,0.7967446562256535,199,0.9048329606941875,0.8892966383300783
e0f819b663b34d1baae857a8301351ab,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,ae,10,0,-1,1,6,0.927235933242404,199,0.9606126844627241,0.9445586960741726
770a05c66c4b441792a54eff4874e88a,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,aae,10,0,-1,1,4,0.9430401745141889,199,0.9690492717822466,0.970913951805529
e6578027a4eb4ef7828e7943376ab207,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,ae,10,0,-1,1,5,0.9749247356437207,199,0.9903148847743666,0.9900346136597533
a3847f297c9c4c52970f0a2e55d1c921,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,aae,10,0,-1,1,3,0.9747032505960123,199,0.9848423517346468,0.9847724977405242
a8f995229a624eebae4b792266a566e0,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,ae,10,0,-1,1,4,0.9420492142266335,199,0.9743073541684651,0.9764017982879991
7326f3a6a61a4e549254a2d6a7f44a83,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,ae,10,0,-1,1,3,0.9712151131244214,199,0.984002605342302,0.9830514267889979
5efa8cc802a34162a1835af3af7b3a56,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,aae,10,0,-1,1,2,0.9839091941765695,199,0.9931096944005486,0.9922438735923038
7c78a36d498148a6b4d0b8a39a496e82,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,ae,10,0,-1,1,2,0.9808416429608744,199,0.9905213261363,0.9876108821870553
9824f0b39da34dbe80d0af91ffb40e05,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,aae,10,0,-1,1,1,0.3984476843616957,199,0.6989368185588408,0.6811775105908332
2a071205c02841dfb9a4f397c9d27693,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,ae,10,0,-1,1,1,0.3637634565801125,199,0.6768954384875107,0.6119259150874898
fceb53c61d704743abc126ec026b8781,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,aae,10,0,-1,1,0,0.9583447412737082,199,0.9564110055462876,0.9533106808923393
b453bfb9f62845279e3de90494ca6cde,,LOCAL,src/train.py,root,FINISHED,mnist,20,sum,200,ae,10,0,-1,1,0,0.9489250184768063,199,0.9368558966745457,0.9353474520553534
